CCTV-1高清,rtp://225.1.4.73:1102
CCTV-2高清,rtp://225.1.4.74:1103
CCTV-3高清,rtp://225.1.4.158:1194
CCTV-4高清,rtp://225.1.5.30:1333
CCTV-5高清,rtp://225.1.4.159:1195
CCTV-6高清,rtp://225.1.4.160:1196
CCTV-7高清,rtp://225.1.4.76:1105
CCTV-8高清,rtp://225.1.4.161:1197
CCTV-9高清,rtp://225.1.4.77:1106
CCTV-10高清,rtp://225.1.4.78:1107
CCTV-11高清,rtp://225.1.4.215:1268
CCTV-12高清,rtp://225.1.4.79:1108
CCTV-13高清,rtp://225.1.4.113:1293
CCTV-14高清,rtp://225.1.4.80:1109
CCTV-15高清,rtp://225.1.4.216:1269
CCTV-5＋高清,rtp://225.1.4.75:1104
CCTV17高清,rtp://225.1.4.226:2506
CHC家庭影院,rtp://225.1.4.209:1262
CHC动作电影,rtp://225.1.4.208:1261
CHC高清电影,rtp://225.1.4.207:1260
爱上4k,rtp://225.1.4.162:1204
河南卫视4K,rtp://225.1.4.254:1300
湖南卫视高清,rtp://225.1.4.82:1111
江苏卫视高清,rtp://225.1.4.83:1112
浙江卫视高清,rtp://225.1.4.84:1113
北京卫视高清,rtp://225.1.4.81:1110
东方卫视高清,rtp://225.1.4.85:1114
天津卫视高清,rtp://225.1.4.86:1115
山东卫视高清,rtp://225.1.4.88:1117
安徽卫视高清,rtp://225.1.4.87:1116
深圳卫视高清,rtp://225.1.4.90:1119
广东卫视高清,rtp://225.1.4.166:1207
湖北卫视高清,rtp://225.1.4.89:1118
黑龙江卫视高清,rtp://225.1.4.91:1120
辽宁卫视高清,rtp://225.1.4.167:1208
东南卫视高清,rtp://225.1.4.228:1274
重庆卫视高清,rtp://225.1.4.157:1308
江西卫视高清,rtp://225.1.4.139:1305
四川卫视高清,rtp://225.1.4.151:1306
贵州卫视高清,rtp://225.1.4.122:1302
河北卫视高清,rtp://225.1.4.123:1304
吉林卫视高清,rtp://225.1.4.174:1309
云南卫视高清,rtp://225.1.4.152:1307
海南卫视高清,rtp://225.1.4.195:1310
河南卫视高清,rtp://225.1.4.98:1127
河南都市频道高清,rtp://225.1.4.52:1081
河南电视剧频道高清,rtp://225.1.4.55:1084
河南公共频道高清,rtp://225.1.4.58:1087
爱体育高清,rtp://225.1.4.168:1220
体育竞技高清,rtp://225.1.4.235:1281
卡酷动画,rtp://225.1.4.48:1077
金鹰卡通,rtp://225.1.4.49:1078
嘉佳卡通,rtp://225.1.4.92:1121
少儿动画,rtp://225.1.4.189:1238
新动漫,rtp://225.1.4.212:1265
热播剧场,rtp://225.1.4.190:1239
魅力时尚,rtp://225.1.4.205:1253
中国教育-1高清,rtp://225.1.4.173:1712
中国教育-2,rtp://225.1.4.165:1206
中国教育-4,rtp://225.1.4.171:1710
金鹰纪实高清,rtp://225.1.4.172:1711
高清纪实,rtp://225.1.4.170:1222
现场直播,rtp://225.1.4.205:1258
经典电影,rtp://225.1.4.175:1233
山东教育,rtp://225.1.4.164:1205
网络棋牌,rtp://225.1.4.211:1264
乒羽频道,rtp://225.1.4.210:1263
中华美食,rtp://225.1.4.214:1267
音乐现场,rtp://225.1.4.184:1224
熊猫频道,rtp://225.1.4.169:1221
收视指南,rtp://225.1.4.50:1079
爱生活,rtp://225.1.4.176:1225
爱电影,rtp://225.1.4.6:1035
爱大剧,rtp://225.1.4.8:1037
好学生,rtp://225.1.4.177:1226
国学,rtp://225.1.4.178:1227
早教,rtp://225.1.4.179:1228
高网,rtp://225.1.4.180:1229
军事,rtp://225.1.4.181:1230
美妆,rtp://225.1.4.182:1231
地理,rtp://225.1.4.183:1232
足球,rtp://225.1.4.200:1250
篮球,rtp://225.1.4.237:1283
IPTV谍战剧场,rtp://225.1.4.185:1240
IPTV相声小品,rtp://225.1.4.186:1235
IPTV野外,rtp://225.1.4.187:1236
IPTV法治,rtp://225.1.4.188:1237
IPTV3＋,rtp://225.1.4.204:1252
IPTV5＋高清,rtp://225.1.4.168:1220
IPTV6＋,rtp://225.1.4.6:1035
IPTV8＋,rtp://225.1.4.8:1037
CGTN,rtp://225.1.4.16:1045
河南民生频道,rtp://225.1.4.53:1082
河南法治频道,rtp://225.1.4.54:1083
河南新闻频道,rtp://225.1.4.56:1085
河南新农村频道,rtp://225.1.4.120:1149
河南国际频道,rtp://225.1.4.102:1131
睛彩中原,rtp://225.1.4.163:1203
移动戏曲,rtp://225.1.4.206:1254
河南文物宝库,rtp://225.1.4.100:1129
河南梨园频道,rtp://225.1.4.99:1128
河南武术世界,rtp://225.1.4.101:1130
河南移动电视,rtp://225.1.5.40:1350
CCTV-16高清,rtp://225.1.5.46:1356
